Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
620;621;16.94957;10350.6831684113
621;622;17.00644;10367.6327400208
622;623;16.56303;10384.6391792297
623;624;15.59056;10401.2022132874
624;625;18.41466;10416.7927751541
625;626;16.50936;10435.2074384689
626;627;18.15791;10451.7168016434
627;628;13.74002;10469.8747091293
628;629;16.44657;10483.6147251129
629;630;16.82767;10500.061290741
630;631;18.18519;10516.888961792
631;632;15.77285;10535.0741519928
632;633;16.60493;10550.8470067978
633;634;15.6733;10567.4519395828
634;635;17.29649;10583.1252374649
635;636;18.08494;10600.4217233658
636;637;15.92256;10618.5066633224
637;638;16.66272;10634.4292211533
638;639;17.84653;10651.0919427872
639;640;15.53086;10668.9384756088
640;641;18.11693;10684.4693346024
641;642;15.79519;10702.5862665176
642;643;17.91622;10718.3814544678
643;644;16.25162;10736.2976779938
644;645;16.11131;10752.5492954254
645;646;17.73173;10768.6606082916
646;647;15.59016;10786.3923339844
647;648;17.17683;10801.9824953079
648;649;17.01206;10819.159327507
649;650;16.45945;10836.1713876724
650;651;16.65932;10852.6308374405
651;652;15.25467;10869.2901620865
652;653;19.93192;10884.5448312759
653;654;13.31598;10904.4767503738
654;655;18.13446;10917.7927274704
655;656;14.79572;10935.9271917343
656;657;17.05393;10950.7229070663
657;658;16.91592;10967.7768354416
658;659;16.93018;10984.6927556992
659;660;17.01592;11001.6229314804
660;661;18.08752;11018.6388483047
